MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/7/2023 11:17:53,1.16.3,ProgRatio,11,4.03,nan,1,Left,Left,1,0,0,0,nan,nan,0.23
9/7/2023 11:18:05,1.16.3,ProgRatio,11,4.02,3,1,Pellet,Left,1,0,1,0,6.96,nan,nan
9/7/2023 11:19:21,1.16.3,ProgRatio,11,4.03,nan,2,Left,Left,2,0,1,0,nan,nan,0.06
9/7/2023 11:19:34,1.16.3,ProgRatio,11,4.03,nan,2,Left,Left,3,0,1,0,nan,nan,0.21
9/7/2023 11:19:35,1.16.3,ProgRatio,11,4.03,2,2,Pellet,Left,3,0,2,0,0.12,91,nan
9/7/2023 11:20:47,1.16.3,ProgRatio,11,4.03,nan,4,Left,Left,4,0,2,0,nan,nan,0.20
9/7/2023 11:20:52,1.16.3,ProgRatio,11,4.03,nan,4,Left,Left,5,0,2,0,nan,nan,0.23
9/7/2023 11:20:55,1.16.3,ProgRatio,11,4.03,nan,4,Left,Left,6,0,2,0,nan,nan,0.21
9/7/2023 11:20:58,1.16.3,ProgRatio,11,4.03,nan,4,Left,Left,7,0,2,0,nan,nan,0.16
9/7/2023 11:20:58,1.16.3,ProgRatio,11,4.03,nan,4,LeftDuringDispense,Left,8,0,2,0,nan,nan,0.17
9/7/2023 11:21:02,1.16.3,ProgRatio,11,4.02,2,4,Pellet,Left,8,0,3,0,1.20,87,nan
9/7/2023 11:21:31,1.16.3,ProgRatio,11,4.03,nan,6,Right,Left,8,1,3,0,nan,nan,0.56
9/7/2023 11:21:38,1.16.3,ProgRatio,11,4.03,nan,6,Left,Left,9,1,3,0,nan,nan,0.09
9/7/2023 11:21:41,1.16.3,ProgRatio,11,4.02,nan,6,Left,Left,10,1,3,0,nan,nan,0.25
9/7/2023 11:21:43,1.16.3,ProgRatio,11,4.03,nan,6,Left,Left,11,1,3,0,nan,nan,0.21
9/7/2023 11:21:44,1.16.3,ProgRatio,11,4.03,nan,6,Left,Left,12,1,3,0,nan,nan,0.41
9/7/2023 11:22:40,1.16.3,ProgRatio,11,4.02,nan,6,Left,Left,13,1,3,0,nan,nan,0.18
9/7/2023 11:22:52,1.16.3,ProgRatio,11,4.03,nan,6,Left,Left,14,1,3,0,nan,nan,0.14
9/7/2023 11:22:53,1.16.3,ProgRatio,11,4.03,2,6,Pellet,Left,14,1,4,0,0.12,111,nan
9/7/2023 11:23:18,1.16.3,ProgRatio,11,4.02,nan,9,Left,Left,15,1,4,0,nan,nan,0.00
9/7/2023 11:23:41,1.16.3,ProgRatio,11,4.03,nan,9,Right,Left,15,2,4,0,nan,nan,0.12
9/7/2023 11:23:49,1.16.3,ProgRatio,11,4.03,nan,9,Left,Left,16,2,4,0,nan,nan,0.12
9/7/2023 11:23:52,1.16.3,ProgRatio,11,4.03,nan,9,Left,Left,17,2,4,0,nan,nan,0.27
9/7/2023 11:23:54,1.16.3,ProgRatio,11,4.02,nan,9,Left,Left,18,2,4,0,nan,nan,0.20
9/7/2023 11:23:55,1.16.3,ProgRatio,11,4.03,nan,9,Left,Left,19,2,4,0,nan,nan,0.28
9/7/2023 11:23:57,1.16.3,ProgRatio,11,4.02,nan,9,Left,Left,20,2,4,0,nan,nan,0.12
9/7/2023 11:24:12,1.16.3,ProgRatio,11,4.02,nan,9,Left,Left,21,2,4,0,nan,nan,0.21
9/7/2023 11:24:18,1.16.3,ProgRatio,11,4.03,nan,9,Left,Left,22,2,4,0,nan,nan,0.25
9/7/2023 11:24:20,1.16.3,ProgRatio,11,4.03,nan,9,Left,Left,23,2,4,0,nan,nan,0.41
9/7/2023 11:24:21,1.16.3,ProgRatio,11,4.03,1,9,Pellet,Left,23,2,5,0,0.44,88,nan
9/7/2023 11:24:37,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,24,2,5,0,nan,nan,0.09
9/7/2023 11:24:39,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,25,2,5,0,nan,nan,0.12
9/7/2023 11:24:42,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,26,2,5,0,nan,nan,0.16
9/7/2023 11:24:44,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,27,2,5,0,nan,nan,0.27
9/7/2023 11:24:47,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,28,2,5,0,nan,nan,0.44
9/7/2023 11:24:50,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,29,2,5,0,nan,nan,0.19
9/7/2023 11:24:53,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,30,2,5,0,nan,nan,0.35
9/7/2023 11:25:01,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,31,2,5,0,nan,nan,0.19
9/7/2023 11:25:05,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,32,2,5,0,nan,nan,0.22
9/7/2023 11:25:07,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,33,2,5,0,nan,nan,0.20
9/7/2023 11:25:11,1.16.3,ProgRatio,11,4.03,nan,12,Left,Left,34,2,5,0,nan,nan,0.21
9/7/2023 11:25:14,1.16.3,ProgRatio,11,4.02,nan,12,Left,Left,35,2,5,0,nan,nan,0.23
9/7/2023 11:25:15,1.16.3,ProgRatio,11,4.03,1,12,Pellet,Left,35,2,6,0,0.63,54,nan
9/7/2023 11:25:44,1.16.3,ProgRatio,11,4.02,nan,15,Left,Left,36,2,6,0,nan,nan,0.18
9/7/2023 11:25:47,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,37,2,6,0,nan,nan,0.27
9/7/2023 11:25:49,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,38,2,6,0,nan,nan,0.24
9/7/2023 11:25:51,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,39,2,6,0,nan,nan,0.30
9/7/2023 11:25:52,1.16.3,ProgRatio,11,4.02,nan,15,Left,Left,40,2,6,0,nan,nan,0.00
9/7/2023 11:25:54,1.16.3,ProgRatio,11,4.02,nan,15,Left,Left,41,2,6,0,nan,nan,0.22
9/7/2023 11:25:57,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,42,2,6,0,nan,nan,0.21
9/7/2023 11:25:59,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,43,2,6,0,nan,nan,0.23
9/7/2023 11:26:02,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,44,2,6,0,nan,nan,0.12
9/7/2023 11:26:05,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,45,2,6,0,nan,nan,0.23
9/7/2023 11:26:08,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,46,2,6,0,nan,nan,0.23
9/7/2023 11:26:12,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,47,2,6,0,nan,nan,0.17
9/7/2023 11:26:54,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,48,2,6,0,nan,nan,0.04
9/7/2023 11:26:59,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,49,2,6,0,nan,nan,0.30
9/7/2023 11:27:02,1.16.3,ProgRatio,11,4.03,nan,15,Left,Left,50,2,6,0,nan,nan,0.18
9/7/2023 11:27:03,1.16.3,ProgRatio,11,4.03,2,15,Pellet,Left,50,2,7,0,0.06,108,nan
9/7/2023 11:27:22,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,51,2,7,0,nan,nan,0.13
9/7/2023 11:27:24,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,52,2,7,0,nan,nan,0.20
9/7/2023 11:27:27,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,53,2,7,0,nan,nan,0.28
9/7/2023 11:27:30,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,54,2,7,0,nan,nan,0.44
9/7/2023 11:27:32,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,55,2,7,0,nan,nan,0.17
9/7/2023 11:27:35,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,56,2,7,0,nan,nan,0.48
9/7/2023 11:27:38,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,57,2,7,0,nan,nan,0.57
9/7/2023 11:28:02,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,58,2,7,0,nan,nan,0.12
9/7/2023 11:28:05,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,59,2,7,0,nan,nan,0.23
9/7/2023 11:28:08,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,60,2,7,0,nan,nan,0.15
9/7/2023 11:28:10,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,61,2,7,0,nan,nan,0.31
9/7/2023 11:28:13,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,62,2,7,0,nan,nan,0.26
9/7/2023 11:28:19,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,63,2,7,0,nan,nan,0.11
9/7/2023 11:28:21,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,64,2,7,0,nan,nan,0.19
9/7/2023 11:28:23,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,65,2,7,0,nan,nan,0.13
9/7/2023 11:28:30,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,66,2,7,0,nan,nan,0.23
9/7/2023 11:28:33,1.16.3,ProgRatio,11,4.02,nan,20,Left,Left,67,2,7,0,nan,nan,0.09
9/7/2023 11:28:41,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,68,2,7,0,nan,nan,0.42
9/7/2023 11:28:43,1.16.3,ProgRatio,11,4.03,nan,20,Right,Left,68,3,7,0,nan,nan,0.45
9/7/2023 11:28:46,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,69,3,7,0,nan,nan,0.14
9/7/2023 11:29:03,1.16.3,ProgRatio,11,4.03,nan,20,Left,Left,70,3,7,0,nan,nan,0.24
9/7/2023 11:29:14,1.16.3,ProgRatio,11,4.02,2,20,Pellet,Left,70,3,8,0,8.30,131,nan
9/7/2023 11:29:28,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,71,3,8,0,nan,nan,0.04
9/7/2023 11:29:32,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,72,3,8,0,nan,nan,0.14
9/7/2023 11:29:50,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,73,3,8,0,nan,nan,0.00
9/7/2023 11:29:54,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,74,3,8,0,nan,nan,0.13
9/7/2023 11:29:56,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,75,3,8,0,nan,nan,0.20
9/7/2023 11:29:58,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,76,3,8,0,nan,nan,0.29
9/7/2023 11:29:59,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,77,3,8,0,nan,nan,0.27
9/7/2023 11:30:02,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,78,3,8,0,nan,nan,0.21
9/7/2023 11:30:06,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,79,3,8,0,nan,nan,0.18
9/7/2023 11:30:11,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,80,3,8,0,nan,nan,0.16
9/7/2023 11:30:15,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,81,3,8,0,nan,nan,0.52
9/7/2023 11:30:18,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,82,3,8,0,nan,nan,0.28
9/7/2023 11:30:20,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,83,3,8,0,nan,nan,0.27
9/7/2023 11:30:22,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,84,3,8,0,nan,nan,0.22
9/7/2023 11:30:25,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,85,3,8,0,nan,nan,0.21
9/7/2023 11:30:28,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,86,3,8,0,nan,nan,0.22
9/7/2023 11:30:30,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,87,3,8,0,nan,nan,0.22
9/7/2023 11:30:33,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,88,3,8,0,nan,nan,0.61
9/7/2023 11:30:34,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,89,3,8,0,nan,nan,0.22
9/7/2023 11:30:36,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,90,3,8,0,nan,nan,0.57
9/7/2023 11:30:40,1.16.3,ProgRatio,11,4.03,nan,25,Right,Left,90,4,8,0,nan,nan,0.27
9/7/2023 11:30:42,1.16.3,ProgRatio,11,4.03,nan,25,Right,Left,90,5,8,0,nan,nan,0.10
9/7/2023 11:30:44,1.16.3,ProgRatio,11,4.02,nan,25,Left,Left,91,5,8,0,nan,nan,0.08
9/7/2023 11:30:46,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,92,5,8,0,nan,nan,0.20
9/7/2023 11:30:47,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,93,5,8,0,nan,nan,0.13
9/7/2023 11:30:50,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,94,5,8,0,nan,nan,0.28
9/7/2023 11:30:52,1.16.3,ProgRatio,11,4.03,nan,25,Left,Left,95,5,8,0,nan,nan,0.18
9/7/2023 11:30:53,1.16.3,ProgRatio,11,4.03,1,25,Pellet,Left,95,5,9,0,0.12,99,nan
9/7/2023 11:31:08,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,96,5,9,0,nan,nan,0.05
9/7/2023 11:31:14,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,97,5,9,0,nan,nan,0.26
9/7/2023 11:31:20,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,98,5,9,0,nan,nan,0.22
9/7/2023 11:31:22,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,99,5,9,0,nan,nan,0.28
9/7/2023 11:31:25,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,100,5,9,0,nan,nan,0.06
9/7/2023 11:31:30,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,101,5,9,0,nan,nan,0.18
9/7/2023 11:31:31,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,102,5,9,0,nan,nan,0.19
9/7/2023 11:31:33,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,103,5,9,0,nan,nan,0.24
9/7/2023 11:31:35,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,104,5,9,0,nan,nan,0.26
9/7/2023 11:31:40,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,105,5,9,0,nan,nan,0.10
9/7/2023 11:31:42,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,106,5,9,0,nan,nan,0.08
9/7/2023 11:31:44,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,107,5,9,0,nan,nan,0.22
9/7/2023 11:31:47,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,108,5,9,0,nan,nan,0.29
9/7/2023 11:31:49,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,109,5,9,0,nan,nan,0.30
9/7/2023 11:31:55,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,110,5,9,0,nan,nan,0.34
9/7/2023 11:31:57,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,111,5,9,0,nan,nan,0.19
9/7/2023 11:31:59,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,112,5,9,0,nan,nan,0.23
9/7/2023 11:32:00,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,113,5,9,0,nan,nan,0.00
9/7/2023 11:32:04,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,114,5,9,0,nan,nan,0.73
9/7/2023 11:32:07,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,115,5,9,0,nan,nan,0.10
9/7/2023 11:32:09,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,116,5,9,0,nan,nan,0.20
9/7/2023 11:32:11,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,117,5,9,0,nan,nan,0.15
9/7/2023 11:32:59,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,118,5,9,0,nan,nan,0.24
9/7/2023 11:33:02,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,119,5,9,0,nan,nan,0.06
9/7/2023 11:33:04,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,120,5,9,0,nan,nan,0.19
9/7/2023 11:33:05,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,121,5,9,0,nan,nan,0.12
9/7/2023 11:33:08,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,122,5,9,0,nan,nan,0.28
9/7/2023 11:33:09,1.16.3,ProgRatio,11,4.02,nan,32,Left,Left,123,5,9,0,nan,nan,0.29
9/7/2023 11:33:12,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,124,5,9,0,nan,nan,0.21
9/7/2023 11:33:16,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,125,5,9,0,nan,nan,0.30
9/7/2023 11:33:24,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,126,5,9,0,nan,nan,0.21
9/7/2023 11:33:26,1.16.3,ProgRatio,11,4.03,nan,32,Left,Left,127,5,9,0,nan,nan,0.39
9/7/2023 11:33:27,1.16.3,ProgRatio,11,4.03,1,32,Pellet,Left,127,5,10,0,0.06,154,nan
9/7/2023 11:33:51,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,128,5,10,0,nan,nan,0.06
9/7/2023 11:33:54,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,129,5,10,0,nan,nan,0.15
9/7/2023 11:33:57,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,130,5,10,0,nan,nan,0.32
9/7/2023 11:34:00,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,131,5,10,0,nan,nan,0.12
9/7/2023 11:34:02,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,132,5,10,0,nan,nan,0.17
9/7/2023 11:34:03,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,133,5,10,0,nan,nan,0.29
9/7/2023 11:34:05,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,134,5,10,0,nan,nan,0.15
9/7/2023 11:34:07,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,135,5,10,0,nan,nan,0.56
9/7/2023 11:34:10,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,136,5,10,0,nan,nan,0.31
9/7/2023 11:34:12,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,137,5,10,0,nan,nan,0.18
9/7/2023 11:34:18,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,138,5,10,0,nan,nan,0.07
9/7/2023 11:34:21,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,139,5,10,0,nan,nan,0.24
9/7/2023 11:34:23,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,140,5,10,0,nan,nan,0.19
9/7/2023 11:34:26,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,141,5,10,0,nan,nan,0.42
9/7/2023 11:34:40,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,142,5,10,0,nan,nan,0.11
9/7/2023 11:34:43,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,143,5,10,0,nan,nan,0.23
9/7/2023 11:35:27,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,144,5,10,0,nan,nan,0.11
9/7/2023 11:35:29,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,145,5,10,0,nan,nan,0.14
9/7/2023 11:35:32,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,146,5,10,0,nan,nan,0.09
9/7/2023 11:35:33,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,147,5,10,0,nan,nan,0.17
9/7/2023 11:35:35,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,148,5,10,0,nan,nan,0.18
9/7/2023 11:35:38,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,149,5,10,0,nan,nan,0.05
9/7/2023 11:35:40,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,150,5,10,0,nan,nan,0.25
9/7/2023 11:35:42,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,151,5,10,0,nan,nan,0.20
9/7/2023 11:35:43,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,152,5,10,0,nan,nan,0.19
9/7/2023 11:35:45,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,153,5,10,0,nan,nan,0.22
9/7/2023 11:35:47,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,154,5,10,0,nan,nan,0.18
9/7/2023 11:35:48,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,155,5,10,0,nan,nan,0.10
9/7/2023 11:35:49,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,156,5,10,0,nan,nan,0.25
9/7/2023 11:35:51,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,157,5,10,0,nan,nan,0.27
9/7/2023 11:35:54,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,158,5,10,0,nan,nan,0.22
9/7/2023 11:35:56,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,159,5,10,0,nan,nan,0.16
9/7/2023 11:36:20,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,160,5,10,0,nan,nan,0.04
9/7/2023 11:36:22,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,161,5,10,0,nan,nan,0.13
9/7/2023 11:36:24,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,162,5,10,0,nan,nan,0.13
9/7/2023 11:36:32,1.16.3,ProgRatio,11,4.02,nan,40,Left,Left,163,5,10,0,nan,nan,0.25
9/7/2023 11:36:34,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,164,5,10,0,nan,nan,0.19
9/7/2023 11:36:36,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,165,5,10,0,nan,nan,0.26
9/7/2023 11:36:37,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,166,5,10,0,nan,nan,0.13
9/7/2023 11:36:39,1.16.3,ProgRatio,11,4.03,nan,40,Left,Left,167,5,10,0,nan,nan,0.24
9/7/2023 11:36:40,1.16.3,ProgRatio,11,4.03,1,40,Pellet,Left,167,5,11,0,1.01,193,nan
9/7/2023 11:37:09,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,168,5,11,0,nan,nan,0.11
9/7/2023 11:37:10,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,169,5,11,0,nan,nan,0.16
9/7/2023 11:37:12,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,170,5,11,0,nan,nan,0.19
9/7/2023 11:37:14,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,171,5,11,0,nan,nan,0.20
9/7/2023 11:37:15,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,172,5,11,0,nan,nan,0.18
9/7/2023 11:37:17,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,173,5,11,0,nan,nan,0.20
9/7/2023 11:37:19,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,174,5,11,0,nan,nan,0.26
9/7/2023 11:37:22,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,175,5,11,0,nan,nan,0.19
9/7/2023 11:37:23,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,176,5,11,0,nan,nan,0.47
9/7/2023 11:37:24,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,177,5,11,0,nan,nan,0.35
9/7/2023 11:37:26,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,178,5,11,0,nan,nan,0.00
9/7/2023 11:37:28,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,179,5,11,0,nan,nan,0.10
9/7/2023 11:37:29,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,180,5,11,0,nan,nan,0.04
9/7/2023 11:37:31,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,181,5,11,0,nan,nan,0.21
9/7/2023 11:37:34,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,182,5,11,0,nan,nan,0.17
9/7/2023 11:37:47,1.16.3,ProgRatio,11,4.03,nan,50,Right,Left,182,6,11,0,nan,nan,0.20
9/7/2023 11:37:53,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,183,6,11,0,nan,nan,0.09
9/7/2023 11:37:54,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,184,6,11,0,nan,nan,0.13
9/7/2023 11:37:57,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,185,6,11,0,nan,nan,0.13
9/7/2023 11:37:59,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,186,6,11,0,nan,nan,0.13
9/7/2023 11:38:00,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,187,6,11,0,nan,nan,0.22
9/7/2023 11:38:02,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,188,6,11,0,nan,nan,0.15
9/7/2023 11:38:04,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,189,6,11,0,nan,nan,0.23
9/7/2023 11:38:06,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,190,6,11,0,nan,nan,0.05
9/7/2023 11:38:10,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,191,6,11,0,nan,nan,0.10
9/7/2023 11:38:12,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,192,6,11,0,nan,nan,0.17
9/7/2023 11:38:13,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,193,6,11,0,nan,nan,0.12
9/7/2023 11:38:14,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,194,6,11,0,nan,nan,0.11
9/7/2023 11:38:18,1.16.3,ProgRatio,11,4.02,nan,50,Right,Left,194,7,11,0,nan,nan,0.67
9/7/2023 11:38:22,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,195,7,11,0,nan,nan,0.08
9/7/2023 11:38:24,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,196,7,11,0,nan,nan,0.20
9/7/2023 11:38:25,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,197,7,11,0,nan,nan,0.11
9/7/2023 11:38:27,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,198,7,11,0,nan,nan,0.24
9/7/2023 11:38:29,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,199,7,11,0,nan,nan,0.25
9/7/2023 11:38:45,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,200,7,11,0,nan,nan,0.11
9/7/2023 11:38:47,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,201,7,11,0,nan,nan,0.13
9/7/2023 11:38:51,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,202,7,11,0,nan,nan,0.12
9/7/2023 11:38:53,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,203,7,11,0,nan,nan,0.13
9/7/2023 11:38:54,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,204,7,11,0,nan,nan,0.14
9/7/2023 11:38:55,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,205,7,11,0,nan,nan,0.20
9/7/2023 11:38:58,1.16.3,ProgRatio,11,4.03,nan,50,Left,Left,206,7,11,0,nan,nan,0.23
9/7/2023 11:39:00,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,207,7,11,0,nan,nan,0.23
9/7/2023 11:39:01,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,208,7,11,0,nan,nan,0.00
9/7/2023 11:39:02,1.16.3,ProgRatio,11,4.02,nan,50,Left,Left,209,7,11,0,nan,nan,0.49
